RK	TEAM	GP	AB	R	H	2B	3B	HR	TB	RBI	AVG	OBP	SLG	OPS
1	Toronto	162	5509	891	1480	308	17	232	2518	852	.269	.340	.457	.797
2	NY Yankees	162	5567	764	1397	272	19	212	2343	737	.251	.323	.421	.744
3	Texas	162	5511	751	1419	279	32	172	2278	707	.257	.325	.413	.739
4	Boston	162	5640	748	1496	294	33	161	2339	706	.265	.325	.415	.740
5	Colorado	162	5572	737	1479	274	49	186	2409	702	.265	.315	.432	.748
6	Houston	162	5459	729	1363	278	26	230	2383	691	.250	.315	.437	.752
7	Kansas City	162	5575	724	1497	300	42	139	2298	689	.269	.322	.412	.734
8	Arizona	162	5649	720	1494	289	48	154	2341	680	.264	.324	.414	.738
9	Baltimore	162	5485	713	1370	246	20	217	2307	686	.250	.307	.421	.728
10	Washington	162	5428	703	1363	265	13	177	2185	665	.251	.321	.403	.724
11	Pittsburgh	162	5631	697	1462	292	27	140	2228	661	.260	.323	.396	.719
12	Minnesota	162	5467	696	1349	277	44	156	2182	661	.247	.305	.399	.704
13	San Francisco	162	5565	696	1486	288	39	136	2260	663	.267	.326	.406	.732
14	Oakland	162	5600	694	1405	277	46	146	2212	661	.251	.312	.395	.707
15	Detroit	161	5605	689	1515	289	49	151	2355	660	.270	.328	.420	.748
16	Chicago Cubs	162	5491	689	1341	272	30	171	2186	657	.244	.321	.398	.719
17	NY Mets	162	5527	683	1351	295	17	177	2211	654	.244	.312	.400	.712
18	Cleveland	161	5439	669	1395	303	29	141	2179	640	.256	.325	.401	.725
19	LA Dodgers	162	5385	667	1346	263	26	187	2222	638	.250	.326	.413	.739
20	LA Angels	162	5417	661	1331	243	21	176	2144	621	.246	.307	.396	.702
21	Seattle	162	5544	656	1379	262	22	198	2279	624	.249	.311	.411	.722
22	Milwaukee	162	5480	655	1378	274	34	145	2155	624	.251	.307	.393	.700
23	San Diego	162	5457	650	1324	260	36	148	2100	623	.243	.300	.385	.685
24	St. Louis	162	5484	647	1386	288	39	137	2163	619	.253	.321	.394	.716
25	Tampa Bay	162	5485	644	1383	278	32	167	2226	612	.252	.314	.406	.720
26	Cincinnati	162	5571	640	1382	257	27	167	2194	613	.248	.312	.394	.706
27	Philadelphia	162	5529	626	1374	272	37	130	2110	586	.249	.303	.382	.684
28	Chicago Sox	162	5533	622	1381	260	27	136	2103	595	.250	.306	.380	.686
29	Miami	162	5463	613	1420	236	40	120	2096	575	.260	.310	.384	.694
30	Atlanta	162	5420	573	1361	251	18	100	1948	548	.251	.314	.359	.674
