RK	TEAM	GP	W	L	ERA	SV	CG	SHO	IP	QS	ER	R	BB	SO	BAA
1	St. Louis	162	100	62	2.94	62	1	15	1464.2	106	478	525	477	1329	.246
2	Pittsburgh	162	98	64	3.21	54	0	13	1489.2	92	532	596	453	1338	.248
3	Chicago Cubs	162	97	65	3.36	48	6	21	1461.1	81	546	608	407	1431	.233
4	NY Mets	162	90	72	3.43	50	1	14	1462.2	101	557	613	383	1337	.243
5	LA Dodgers	162	92	70	3.44	47	6	21	1445.2	95	553	595	395	1396	.242
6	Houston	162	86	76	3.57	39	5	13	1441.0	94	572	618	423	1280	.241
7	Washington	162	83	79	3.62	41	4	13	1434.2	91	577	635	364	1342	.250
8	Cleveland	161	81	80	3.67	38	11	10	1432.2	91	584	640	425	1407	.237
9	San Francisco	162	84	78	3.72	41	7	18	1444.1	78	597	627	431	1165	.246
10	Kansas City	162	95	67	3.73	56	2	8	1452.0	71	601	641	489	1160	.249
11	Tampa Bay	162	80	82	3.74	60	1	12	1453.1	68	604	642	477	1355	.240
12	Toronto	162	93	69	3.80	34	7	10	1441.0	84	609	670	397	1117	.248
13	LA Angels	162	85	77	3.94	46	2	12	1440.2	88	630	675	466	1221	.248
14	Chicago Sox	162	76	86	3.98	37	7	9	1452.2	98	643	701	474	1359	.260
15	Miami	162	71	91	4.02	35	0	12	1427.0	83	638	678	508	1152	.255
16	Arizona	162	79	83	4.04	44	1	12	1466.2	69	659	713	500	1215	.258
17	NY Yankees	162	87	75	4.05	48	3	4	1457.2	72	656	698	474	1370	.253
18	Baltimore	162	81	81	4.05	43	0	10	1434.2	72	646	693	483	1233	.257
19	Minnesota	162	83	79	4.07	45	2	12	1443.0	76	653	700	413	1046	.269
20	San Diego	162	74	88	4.09	41	1	6	1440.1	90	655	731	516	1393	.252
21	Oakland	162	68	94	4.14	28	5	15	1444.2	83	664	729	474	1179	.254
22	Seattle	162	76	86	4.16	45	6	12	1463.0	88	677	726	491	1283	.256
23	Texas	162	88	74	4.24	45	5	9	1442.2	79	680	733	508	1095	.262
24	Milwaukee	162	68	94	4.28	40	1	7	1435.0	63	682	737	517	1260	.261
25	Boston	162	78	84	4.31	40	3	10	1448.1	80	694	753	478	1218	.264
26	Cincinnati	162	64	98	4.33	35	2	8	1453.1	68	700	754	544	1252	.258
27	Atlanta	162	67	95	4.41	44	3	10	1425.1	79	698	760	550	1148	.268
28	Detroit	161	74	87	4.64	35	7	12	1447.0	72	746	803	489	1100	.268
29	Philadelphia	162	63	99	4.69	35	1	7	1436.1	66	749	809	488	1153	.280
30	Colorado	162	68	94	5.04	36	4	4	1426.1	54	799	844	579	1112	.283
