RK	TEAM	GP	AB	R	H	2B	3B	HR	TB	RBI	AVG	OBP	SLG	OPS
1	Houston	162	5611	896	1581	346	20	238	2681	854	.282	.346	.478	.823
2	NY Yankees	162	5594	858	1463	266	23	241	2498	821	.262	.339	.447	.785
3	Colorado	162	5534	824	1510	293	38	192	2455	793	.273	.338	.444	.781
4	Chicago Cubs	162	5496	822	1402	274	29	223	2403	785	.255	.338	.437	.775
5	Washington	162	5553	819	1477	311	31	215	2495	796	.266	.332	.449	.782
6	Cleveland	162	5511	818	1449	333	29	212	2476	780	.263	.339	.449	.788
7	Minnesota	162	5557	815	1444	286	31	206	2410	781	.260	.334	.434	.768
8	Arizona	162	5525	812	1405	314	39	220	2457	776	.254	.329	.445	.774
9	Texas	162	5430	799	1326	255	21	237	2334	756	.244	.320	.430	.750
10	Boston	162	5669	785	1461	302	19	168	2305	735	.258	.329	.407	.736
11	Miami	162	5602	778	1497	271	31	194	2412	743	.267	.331	.431	.761
12	LA Dodgers	162	5408	770	1347	312	20	221	2362	730	.249	.334	.437	.771
13	St. Louis	162	5470	761	1402	284	28	196	2330	728	.256	.334	.426	.760
14	Cincinnati	162	5484	753	1390	249	38	219	2372	715	.253	.329	.433	.761
15	Seattle	162	5551	750	1436	281	17	200	2351	714	.259	.325	.424	.749
16	Baltimore	162	5650	743	1469	269	12	232	2458	713	.260	.312	.435	.747
17	Oakland	162	5464	739	1344	305	15	234	2381	708	.246	.319	.436	.755
18	Detroit	162	5556	735	1435	289	35	187	2355	699	.258	.324	.424	.748
19	NY Mets	162	5510	735	1379	286	28	224	2393	713	.250	.320	.434	.755
20	Milwaukee	162	5467	732	1363	267	22	224	2346	695	.249	.322	.429	.751
21	Atlanta	162	5584	732	1467	289	26	165	2303	706	.263	.326	.412	.738
22	LA Angels	162	5415	710	1314	251	14	186	2151	678	.243	.315	.397	.712
23	Chicago Sox	162	5513	706	1412	256	37	186	2300	670	.256	.314	.417	.731
24	Kansas City	162	5536	702	1436	260	24	193	2323	660	.259	.311	.420	.731
25	Tampa Bay	162	5478	694	1340	226	32	228	2314	671	.245	.317	.422	.739
26	Toronto	162	5499	693	1320	269	5	222	2265	661	.240	.312	.412	.724
27	Philadelphia	162	5535	690	1382	287	36	174	2263	654	.250	.315	.409	.723
28	Pittsburgh	162	5458	668	1331	249	36	151	2105	635	.244	.318	.386	.704
29	San Francisco	162	5551	639	1382	290	28	128	2112	612	.249	.309	.380	.689
30	San Diego	162	5356	604	1251	227	31	189	2107	576	.234	.299	.393	.692
