RK	TEAM	GP	W	L	ERA	SV	CG	SHO	IP	QS	ER	R	BB	SO	BAA
1	Cleveland	162	102	60	3.30	37	7	19	1440.2	84	529	564	406	1614	.236
2	LA Dodgers	162	104	58	3.38	51	2	16	1444.2	68	543	580	442	1549	.228
3	Arizona	162	93	69	3.66	43	2	11	1441.0	82	586	659	516	1482	.240
4	Boston	162	93	69	3.70	39	5	11	1482.1	88	610	668	465	1580	.245
5	NY Yankees	162	91	71	3.72	36	2	7	1448.2	75	599	660	504	1560	.228
6	Washington	162	97	65	3.88	46	3	5	1446.2	99	623	672	495	1457	.239
7	Chicago Cubs	162	92	70	3.95	38	2	8	1447.1	77	636	695	554	1439	.238
8	Tampa Bay	162	80	82	3.97	53	0	9	1445.0	73	638	704	503	1352	.242
9	Milwaukee	162	86	76	4.00	54	1	12	1445.2	65	642	697	553	1346	.252
10	St. Louis	162	83	79	4.01	43	3	12	1450.1	79	646	705	493	1351	.253
11	Houston	162	101	61	4.12	45	1	9	1446.0	67	662	700	522	1593	.240
12	LA Angels	162	80	82	4.20	43	1	10	1440.2	61	672	709	470	1312	.251
13	Pittsburgh	162	75	87	4.22	36	2	12	1440.2	69	676	731	511	1262	.264
14	Toronto	162	76	86	4.42	45	2	6	1465.0	69	720	784	549	1372	.258
15	Seattle	162	78	84	4.46	39	1	9	1440.1	62	713	772	490	1244	.254
16	San Francisco	162	64	98	4.50	32	3	5	1452.0	82	726	776	496	1234	.268
17	Colorado	162	87	75	4.51	47	1	9	1437.2	68	721	757	532	1270	.264
18	Philadelphia	162	66	96	4.55	33	1	7	1441.0	65	729	782	527	1309	.265
19	Minnesota	162	85	77	4.59	42	6	11	1436.0	62	732	788	483	1166	.266
20	Kansas City	162	80	82	4.61	39	1	6	1437.2	64	737	791	519	1216	.265
21	Texas	162	78	84	4.66	29	2	6	1434.1	79	742	816	559	1107	.261
22	San Diego	162	71	91	4.67	45	2	12	1430.2	67	742	816	554	1325	.259
23	Oakland	162	75	87	4.67	35	1	6	1431.0	73	743	826	502	1202	.261
24	Atlanta	162	72	90	4.72	36	0	6	1441.1	77	756	821	584	1258	.263
25	Chicago Sox	162	67	95	4.78	25	0	3	1421.2	63	755	820	632	1193	.254
26	Miami	162	77	85	4.82	34	1	7	1442.2	54	772	822	627	1202	.263
27	Baltimore	162	75	87	4.97	35	1	10	1441.0	61	795	841	579	1233	.269
28	NY Mets	162	70	92	5.01	34	2	5	1434.2	62	799	863	593	1374	.273
29	Cincinnati	162	68	94	5.17	33	2	8	1430.0	54	821	869	631	1300	.263
30	Detroit	162	64	98	5.36	32	2	4	1420.1	72	846	894	538	1202	.282
