Date	Visiting Team	Visiting League	Visiting Team Game	Home Team	Home League	Home Team Game	Visiting Score	Home Score	Length in Outs	Park Code	Visit Bats	Visit Hits	Visit Doubles	Visit Triples	Visit Homeruns	Visit RBI	Visit Putouts	Visit Assist	Visit Errors	Visit Passed Balls	Visit Double Plays	Visit Tripple Plays	Home bats	Home Hits	Home Doubles	Home Triples	Home Homeruns	Home RBI	Home Putouts	Home Assist	Home Errors	Home Passed Balls	Home Double Plays	Home Triple Plays
20150405	SLN	NL	1	CHN	NL	1	3	0	54	CHI11	36	10	3	0	0	3	27	8	0	1	0	0	32	5	3	0	0	0	27	8	2	0	0	0
20150406	MIN	AL	1	DET	AL	1	0	4	51	DET05	31	5	0	0	0	0	24	6	0	0	2	0	31	10	1	1	2	4	27	9	0	0	1	0
20150406	CLE	AL	1	HOU	AL	1	0	2	51	HOU03	29	3	0	0	0	0	24	10	0	0	0	0	25	3	0	0	0	2	27	13	0	0	1	0
20150406	CHA	AL	1	KCA	AL	1	1	10	51	KAN06	28	5	1	0	1	1	24	7	0	0	2	0	34	13	3	0	2	9	27	16	0	0	3	0
20150406	TOR	AL	1	NYA	AL	1	6	1	54	NYC21	33	6	0	0	2	5	27	4	0	0	0	0	29	3	0	0	1	1	27	6	1	0	0	0
20150406	TEX	AL	1	OAK	AL	1	0	8	51	OAK01	28	1	0	0	0	0	24	6	1	0	0	0	37	11	3	1	2	7	27	8	1	0	1	0
20150406	ANA	AL	1	SEA	AL	1	1	4	51	SEA03	29	4	0	0	1	1	24	9	0	0	1	0	32	10	3	1	1	4	27	10	0	0	2	0
20150406	BAL	AL	1	TBA	AL	1	6	2	54	STP01	34	8	2	0	3	6	27	11	0	0	1	0	32	8	2	0	1	2	27	9	1	0	0	0
20150406	SFN	NL	1	ARI	NL	1	5	4	54	PHO01	37	13	3	0	0	4	27	13	0	0	2	0	34	9	1	1	0	4	27	10	1	0	1	0
20150406	PIT	NL	1	CIN	NL	1	2	5	51	CIN09	34	7	1	0	1	2	24	10	0	0	0	0	29	5	0	0	2	4	27	7	0	0	0	0
20150406	SDN	NL	1	LAN	NL	1	3	6	51	LOS03	31	7	4	0	0	3	24	9	1	0	0	0	33	9	4	1	2	6	27	10	0	0	2	0
20150406	ATL	NL	1	MIA	NL	1	2	1	54	MIA02	33	6	1	0	0	2	27	12	0	0	2	0	31	8	1	0	0	1	27	15	0	0	0	0
20150406	COL	NL	1	MIL	NL	1	10	0	54	MIL06	42	16	6	0	2	10	27	8	0	0	2	0	33	8	0	0	0	0	27	12	3	0	2	0
20150406	BOS	AL	1	PHI	NL	1	8	0	54	PHI13	35	9	0	0	5	8	27	9	1	0	0	0	31	3	1	0	0	0	27	10	0	0	1	0
20150406	NYN	NL	1	WAS	NL	1	3	1	54	WAS11	34	5	0	1	0	3	27	12	1	0	0	0	31	3	0	0	1	1	27	6	2	0	0	0
20150407	TEX	AL	2	OAK	AL	2	3	1	54	OAK01	34	8	1	0	0	2	27	9	1	0	3	0	30	5	0	1	0	1	27	11	1	0	1	0
20150407	ANA	AL	2	SEA	AL	2	2	0	54	SEA03	32	5	2	0	1	2	27	14	0	0	0	0	29	2	0	0	0	0	27	12	1	0	1	0
20150407	BAL	AL	2	TBA	AL	2	6	5	54	STP01	29	6	1	0	1	6	27	7	0	0	0	0	32	5	0	1	2	5	27	13	0	0	3	0
20150407	SFN	NL	2	ARI	NL	2	6	7	51	PHO01	35	10	4	0	2	6	24	8	0	0	1	0	31	8	1	1	2	7	27	12	0	0	0	0
20150407	SDN	NL	2	LAN	NL	2	7	3	54	LOS03	40	11	1	1	0	6	27	11	0	0	0	0	32	7	4	0	1	3	27	9	3	0	0	0
20150407	ATL	NL	2	MIA	NL	2	12	2	54	MIA02	37	14	4	0	0	12	27	10	0	0	2	0	30	5	0	1	0	2	27	19	0	0	2	0
20150407	COL	NL	2	MIL	NL	2	5	2	54	MIL06	38	12	6	0	0	5	27	13	0	0	1	0	31	6	3	0	0	1	27	10	1	0	0	0
20150408	MIN	AL	2	DET	AL	2	0	11	51	DET05	31	4	1	0	0	0	24	8	1	0	0	0	38	15	5	1	0	10	27	7	0	0	0	0
20150408	CLE	AL	2	HOU	AL	2	2	0	54	HOU03	33	7	0	0	2	2	27	7	0	0	1	0	30	4	1	0	0	0	27	10	0	0	0	0
20150408	CHA	AL	2	KCA	AL	2	5	7	51	KAN06	34	10	3	0	1	5	24	10	0	0	1	0	37	14	1	0	2	7	27	9	0	0	0	0
20150408	TOR	AL	2	NYA	AL	2	3	4	51	NYC21	33	7	1	0	0	2	24	8	0	0	1	0	28	7	2	0	0	3	27	10	2	0	0	0
