Date	Visiting Team	Visiting League	Visiting Team Game	Home Team	Home League	Home Team Game	Visiting Score	Home Score	Length in Outs	Park Code	Visit Bats	Visit Hits	Visit Doubles	Visit Triples	Visit Homeruns	Visit RBI	Visit Putouts	Visit Assist	Visit Errors	Visit Passed Balls	Visit Double Plays	Visit Tripple Plays	Home bats	Home Hits	Home Doubles	Home Triples	Home Homeruns	Home RBI	Home Putouts	Home Assist	Home Errors	Home Passed Balls	Home Double Plays	Home Triple Plays
20160403	NYN	NL	1	KCA	AL	1	3	4	51	KAN06	33	7	1	0	0	3	24	15	1	1	3	0	30	9	0	0	0	4	27	13	0	0	0	0
20160403	TOR	AL	1	TBA	AL	1	5	3	54	STP01	35	7	1	0	1	5	27	15	2	0	0	0	35	7	1	0	1	3	27	8	1	0	0	0
20160403	SLN	NL	1	PIT	NL	1	1	4	51	PIT08	32	5	0	0	0	1	24	11	0	0	2	0	28	9	2	1	0	4	27	8	1	0	1	0
20160404	CHN	NL	1	ANA	AL	1	9	0	54	ANA01	37	11	3	0	1	9	27	9	0	0	1	0	29	3	1	0	0	0	27	8	1	0	1	0
20160404	MIN	AL	1	BAL	AL	1	2	3	53	BAL12	33	7	3	0	0	2	26	5	0	0	0	0	36	10	3	0	0	3	27	6	0	0	0	0
20160404	CHA	AL	1	OAK	AL	1	4	3	54	OAK01	33	7	1	1	0	2	27	9	1	0	0	0	33	7	2	0	0	3	27	12	2	0	0	0
20160404	TOR	AL	2	TBA	AL	2	5	3	54	STP01	33	7	1	0	3	5	27	8	1	0	0	0	35	8	1	0	1	2	27	6	0	0	0	0
20160404	SEA	AL	1	TEX	AL	1	2	3	51	ARL02	30	4	0	0	2	2	24	10	2	0	0	0	27	1	0	0	0	3	27	13	1	0	1	0
20160404	COL	NL	1	ARI	NL	1	10	5	54	PHO01	42	15	4	0	4	10	27	7	0	0	1	0	39	12	2	0	1	5	27	8	0	0	0	0
20160404	WAS	NL	1	ATL	NL	1	4	3	60	ATL02	37	8	1	0	2	4	30	7	0	0	2	0	32	4	0	0	2	3	30	11	2	0	1	0
20160404	PHI	NL	1	CIN	NL	1	2	6	51	CIN09	33	6	1	0	1	2	24	11	2	0	1	0	28	6	3	0	0	5	27	6	0	0	0	0
20160404	SFN	NL	1	MIL	NL	1	12	3	54	MIL06	40	15	3	0	4	12	27	8	0	0	1	0	32	8	0	0	2	3	27	14	1	0	1	0
20160404	LAN	NL	1	SDN	NL	1	15	0	54	SAN02	42	17	7	1	0	13	27	6	0	0	0	0	31	4	1	0	0	0	27	10	2	0	0	0
20160405	CHN	NL	2	ANA	AL	2	6	1	54	ANA01	36	9	1	0	3	6	27	13	1	0	0	0	32	4	1	0	0	1	27	9	0	0	0	0
20160405	BOS	AL	1	CLE	AL	1	6	2	54	CLE08	37	11	1	0	2	5	27	6	0	0	0	0	31	5	0	0	0	2	27	8	1	0	1	0
20160405	NYN	NL	2	KCA	AL	2	2	0	54	KAN06	33	6	0	0	1	2	27	11	0	0	0	0	31	3	1	1	0	0	27	4	0	0	0	0
20160405	HOU	AL	1	NYA	AL	1	5	3	54	NYC21	34	6	2	0	1	4	27	11	0	0	2	0	29	4	1	0	1	3	27	11	1	0	0	0
20160405	CHA	AL	2	OAK	AL	2	5	4	54	OAK01	38	11	0	0	2	5	27	6	0	0	0	0	37	10	3	0	0	4	27	10	0	0	1	0
20160405	TOR	AL	3	TBA	AL	3	2	3	51	STP01	36	9	0	1	0	1	24	8	0	0	0	0	30	7	1	0	2	3	27	4	1	0	1	0
20160405	SEA	AL	2	TEX	AL	2	10	2	54	ARL02	36	11	3	0	4	10	27	7	1	0	1	0	33	7	2	0	0	2	27	10	1	0	2	0
20160405	COL	NL	2	ARI	NL	2	6	11	51	PHO01	35	9	2	0	3	6	24	5	0	0	0	0	38	15	3	2	2	11	27	13	0	0	1	0
20160405	DET	AL	1	MIA	NL	1	8	7	66	MIA02	41	12	2	0	3	8	33	8	1	0	0	0	41	10	4	1	1	7	33	14	2	0	1	0
20160405	SFN	NL	2	MIL	NL	2	2	1	54	MIL06	33	7	1	0	1	2	27	12	0	0	1	0	31	6	2	0	0	0	27	8	0	0	0	0
20160405	SLN	NL	2	PIT	NL	2	5	6	64	PIT08	38	8	2	1	1	4	31	13	1	0	1	0	41	12	1	1	0	6	33	11	2	0	2	0
20160405	LAN	NL	2	SDN	NL	2	3	0	54	SAN02	33	6	2	1	0	3	27	9	0	0	0	0	29	2	0	0	0	0	27	7	1	0	1	0
20160406	MIN	AL	2	BAL	AL	2	2	4	51	BAL12	30	5	3	0	1	2	24	13	0	0	1	0	31	9	3	0	1	4	27	4	0	0	0	0
20160406	BOS	AL	2	CLE	AL	2	6	7	51	CLE08	36	10	2	0	3	6	24	7	1	0	1	0	31	9	2	0	2	7	27	10	0	0	0	0
20160406	HOU	AL	2	NYA	AL	2	6	16	51	NYC21	38	12	3	0	3	6	24	6	1	0	0	0	41	17	2	1	3	16	27	11	0	0	1	0
20160406	CHA	AL	3	OAK	AL	3	1	2	51	OAK01	30	6	1	0	0	1	24	6	0	0	0	0	30	7	0	0	1	2	27	14	0	0	2	0
20160406	TOR	AL	4	TBA	AL	4	3	5	51	STP01	32	6	0	0	1	3	24	3	0	0	1	0	33	10	1	0	2	5	27	11	0	0	1	0
20160406	SEA	AL	3	TEX	AL	3	9	5	54	ARL02	37	14	1	0	3	9	27	9	0	0	0	0	33	7	1	0	1	5	27	10	0	0	2	0
20160406	COL	NL	3	ARI	NL	3	4	3	54	PHO01	32	8	0	0	3	4	27	12	1	0	0	0	36	8	0	0	1	3	27	15	0	0	1	0
20160406	WAS	NL	2	ATL	NL	2	3	1	54	ATL02	34	8	2	0	0	3	27	13	0	0	1	0	31	8	0	0	0	1	27	11	1	0	1	0
20160406	PHI	NL	2	CIN	NL	2	2	3	52	CIN09	30	5	2	0	1	2	25	5	0	0	0	0	33	8	1	0	1	3	27	13	0	0	0	0
20160406	DET	AL	2	MIA	NL	2	7	3	54	MIA02	40	13	3	0	2	7	27	13	0	0	1	0	33	10	4	0	0	3	27	3	1	0	0	0
20160406	SFN	NL	3	MIL	NL	3	3	4	51	MIL06	30	6	1	1	1	2	24	8	0	1	2	0	30	9	0	0	1	4	27	15	2	0	2	0
20160406	SLN	NL	3	PIT	NL	3	1	5	51	PIT08	31	4	1	0	1	1	24	12	3	0	2	0	31	9	2	1	0	4	27	7	0	0	0	0
