Colmun 1	Colmun 4	Colmun 5	Colmun 6	Colmun 7	Colmun 8	Colmun 9	Colmun 10	Colmun 11	Colmun 12	Colmun 17	Colmun 22	Colmun 23	Colmun 24	Colmun 25	Colmun 26	Colmun 27	Colmun 44	Colmun 45	Colmun 46	Colmun 47	Colmun 48	Colmun 49	Colmun 50	Colmun 51	Colmun 52	Colmun 53	Colmun 54	Colmun 55	Colmun 72	Colmun 73	Colmun 74	Colmun 75	Colmun 76	Colmun 77
20170402	SFN	NL	1	ARI	NL	1	5	6	53	PHO01	34	11	2	1	2	5	26	9	0	0	1	0	38	13	1	1	1	6	27	8	0	0	0	0
20170402	CHN	NL	1	SLN	NL	1	3	4	53	STL10	34	8	1	0	1	3	26	8	0	0	1	0	35	11	2	0	1	4	27	5	0	0	1	0
20170402	NYA	AL	1	TBA	AL	1	3	7	51	STP01	36	9	1	0	0	3	24	5	1	0	0	0	36	13	2	0	2	6	27	9	1	0	0	0
20170403	PHI	NL	1	CIN	NL	1	4	3	54	CIN09	35	10	4	1	2	4	27	7	0	0	3	0	32	9	1	1	1	3	27	8	1	0	2	0
20170403	SDN	NL	1	LAN	NL	1	3	14	51	LOS03	33	5	1	0	1	3	24	8	0	0	0	0	36	14	4	0	4	12	27	5	1	0	0	0
20170403	COL	NL	1	MIL	NL	1	7	5	54	MIL06	34	10	3	0	1	6	27	7	0	0	2	0	31	7	4	0	0	5	27	18	3	0	1	0
20170403	ATL	NL	1	NYN	NL	1	0	6	51	NYC20	33	7	1	1	0	0	24	5	0	1	0	0	30	7	1	0	0	6	27	11	0	0	1	0
20170403	MIA	NL	1	WAS	NL	1	2	4	51	WAS11	33	6	2	0	0	2	24	7	0	0	2	0	31	9	2	0	2	4	27	12	0	0	0	0
20170403	TOR	AL	1	BAL	AL	1	2	3	65	BAL12	42	11	1	0	0	2	32	15	0	0	1	0	39	9	4	0	1	3	33	15	0	0	2	0
20170403	PIT	NL	1	BOS	AL	1	3	5	51	BOS07	34	8	2	0	0	3	24	10	1	0	1	0	33	10	0	1	1	5	27	9	1	0	0	0
20170403	SEA	AL	1	HOU	AL	1	0	3	51	HOU03	29	3	0	0	0	0	24	11	1	0	2	0	27	6	0	0	2	3	27	11	0	0	1	0
20170403	KCA	AL	1	MIN	AL	1	1	7	51	MIN04	28	3	0	0	1	1	24	3	0	0	0	0	31	8	0	0	1	7	27	11	0	0	2	0
20170403	ANA	AL	1	OAK	AL	1	2	4	51	OAK01	32	7	1	0	1	2	24	8	0	0	1	0	32	9	0	0	3	4	27	9	0	0	2	0
20170403	CLE	AL	1	TEX	AL	1	8	5	54	ARL02	34	9	3	0	2	7	27	5	0	0	0	0	34	8	2	1	3	5	27	13	1	0	3	0
20170404	SFN	NL	2	ARI	NL	2	8	4	54	PHO01	43	15	5	0	1	8	27	7	0	0	0	0	34	7	0	0	2	4	27	6	2	0	0	0
20170404	SDN	NL	2	LAN	NL	2	4	0	54	LOS03	33	11	2	0	1	4	27	14	0	0	4	0	28	5	0	0	0	0	27	8	1	0	3	0
20170404	COL	NL	2	MIL	NL	2	6	5	54	MIL06	34	12	4	0	0	6	27	7	0	0	1	0	34	9	3	0	1	5	27	14	0	0	2	0
20170404	CHN	NL	2	SLN	NL	2	2	1	54	STL10	31	5	1	0	0	2	27	10	2	0	0	0	31	4	0	0	0	0	27	6	0	0	0	0
20170404	DET	AL	1	CHA	AL	1	6	3	54	CHI12	32	6	1	0	3	6	27	6	1	0	0	0	34	8	3	0	0	3	27	9	1	0	0	0
20170404	SEA	AL	2	HOU	AL	2	1	2	51	HOU03	36	7	3	0	0	1	24	16	1	0	2	0	26	5	0	0	2	2	27	12	2	0	0	0
20170404	ANA	AL	2	OAK	AL	2	7	6	54	OAK01	34	9	0	1	1	7	27	9	1	0	0	0	34	9	2	1	2	5	27	16	0	0	2	0
20170404	NYA	AL	2	TBA	AL	2	5	0	54	STP01	36	9	4	0	2	5	27	12	0	0	0	0	32	5	0	0	0	0	27	5	0	0	0	0
20170404	CLE	AL	2	TEX	AL	2	4	3	54	ARL02	32	8	0	0	1	4	27	6	0	0	1	0	32	7	2	0	1	3	27	9	0	0	1	0
20170405	SFN	NL	3	ARI	NL	3	6	8	51	PHO01	36	10	0	2	1	5	24	14	1	1	0	0	36	12	7	0	0	6	27	6	0	0	0	0
20170405	PHI	NL	2	CIN	NL	2	0	2	51	CIN09	31	4	0	0	0	0	24	9	0	0	1	0	28	5	2	0	1	2	27	11	0	0	0	0
20170405	SDN	NL	3	LAN	NL	3	1	3	51	LOS03	27	3	1	0	1	1	24	8	1	0	1	0	30	6	3	0	1	2	27	11	0	0	1	0
20170405	COL	NL	3	MIL	NL	3	1	6	51	MIL06	29	5	2	0	0	1	24	14	0	0	2	0	30	10	1	1	3	6	27	14	0	0	1	0
20170405	ATL	NL	2	NYN	NL	2	3	1	72	NYC20	43	8	4	1	0	3	36	5	0	0	1	0	40	5	1	0	1	1	36	15	1	0	2	0
20170405	MIA	NL	2	WAS	NL	2	4	6	51	WAS11	33	9	1	0	1	4	24	11	0	1	1	0	31	11	3	0	1	6	27	12	0	0	1	0
20170405	TOR	AL	2	BAL	AL	2	1	3	51	BAL12	33	7	1	0	0	1	24	8	1	0	0	0	29	5	0	0	2	3	27	8	0	0	1	0
20170405	PIT	NL	2	BOS	AL	2	0	3	70	BOS07	41	5	0	0	0	0	34	14	0	0	2	0	39	8	1	0	1	3	36	13	1	0	1	0
20170405	SEA	AL	3	HOU	AL	3	3	5	77	HOU03	45	6	2	0	1	3	38	16	1	0	2	0	51	13	4	0	1	5	39	9	0	0	0	0
20170405	KCA	AL	2	MIN	AL	2	1	9	51	MIN04	29	4	0	0	0	1	24	3	0	0	1	0	31	8	0	1	1	9	27	8	0	0	2	0
20170405	ANA	AL	3	OAK	AL	3	5	0	54	OAK01	37	13	3	0	0	5	27	11	0	0	0	0	33	6	1	0	0	0	27	9	0	0	2	0
20170405	NYA	AL	3	TBA	AL	3	1	4	51	STP01	33	8	1	0	1	1	24	9	0	1	0	0	31	8	0	0	1	4	27	16	0	1	2	0
20170405	CLE	AL	3	TEX	AL	3	9	6	54	ARL02	34	9	0	0	2	9	27	11	1	0	1	0	31	7	0	0	2	4	27	11	1	0	0	0
20170406	SFN	NL	4	ARI	NL	4	3	9	51	PHO01	31	4	2	0	1	3	24	8	0	0	1	0	34	11	2	0	3	9	27	12	1	1	0	0
20170406	PHI	NL	3	CIN	NL	3	4	7	51	CIN09	30	6	1	0	2	3	24	8	0	0	1	0	34	13	2	0	2	7	27	9	0	0	2	0
20170406	SDN	NL	4	LAN	NL	4	2	10	51	LOS03	33	6	2	0	1	2	24	11	0	1	0	0	32	8	2	0	2	8	27	8	0	0	0	0
20170406	COL	NL	4	MIL	NL	4	2	1	54	MIL06	30	5	2	0	2	2	27	7	0	0	2	0	30	5	1	0	1	1	27	13	0	1	0	0
20170406	ATL	NL	3	NYN	NL	3	2	6	51	NYC20	32	6	0	0	2	2	24	10	1	0	1	0	31	8	3	0	1	5	27	6	0	0	1	0
20170406	CHN	NL	3	SLN	NL	3	6	4	54	STL10	38	10	1	0	1	6	27	12	2	0	1	0	34	7	2	0	0	4	27	8	1	0	0	0
20170406	MIA	NL	3	WAS	NL	3	4	3	60	WAS11	40	14	1	0	1	4	30	8	0	0	2	0	36	8	1	0	3	3	30	13	0	1	4	0
20170406	DET	AL	2	CHA	AL	2	2	11	51	CHI12	30	4	2	0	1	2	24	4	2	1	0	0	34	10	1	1	3	11	27	8	1	0	2	0
20170406	SEA	AL	4	HOU	AL	4	4	2	54	HOU03	33	7	0	0	1	4	27	7	1	0	2	0	32	6	0	0	2	2	27	9	0	0	1	0
20170406	KCA	AL	3	MIN	AL	3	3	5	51	MIN04	35	9	1	0	2	2	24	4	0	0	0	0	33	9	3	0	0	5	27	8	0	0	1	0
20170406	ANA	AL	4	OAK	AL	4	1	5	51	OAK01	32	5	0	0	0	1	24	5	1	0	0	0	28	5	1	0	1	4	27	9	2	0	0	0
20170406	TOR	AL	3	TBA	AL	4	5	2	54	STP01	32	5	0	0	1	4	27	13	0	0	4	0	31	8	3	0	0	1	27	6	1	0	1	0
20170407	CLE	AL	4	ARI	NL	5	3	7	51	PHO01	34	6	2	0	1	3	24	8	0	0	1	0	34	11	3	1	0	7	27	5	1	0	0	0
