index,Date,Visiting_Team,Visiting_League,Visiting_Team_Game,Home_Team,Home_League,Home_Team_Game,Visiting_Score,Home_Score,Length_in_Outs,Park_Code,Visit_Bats,Visit_Hits,Visit_Doubles,Visit_Triples,Visit_Homeruns,Visit_RBI,Visit_Putouts,Visit_Assist,Visit_Errors,Visit_Passed_Balls,Visit_Double_Plays,Visit_Tripple_Plays,Home_bats,Home_Hits,Home_Doubles,Home_Triples,Home_Homeruns,Home_RBI,Home_Putouts,Home_Assist,Home_Errors,Home_Passed_Balls,Home_Double_Plays,Home_Triple_Plays,bln_home_win,diff_hr,diff_hits,diff_doubles,diff_triples,diff_rbi,diff_putouts,diff_errors,diff_assist,diff_at_bats
0,20170402,SFN,NL,1,ARI,NL,1,5.0,6.0,53,PHO01,34,11,2,1,2,5,26,9,0,0,1,0,38,13,1,1,1,6,27,8,0,0,0,0,1,1,2,-1,0,1,1,0,-1,4
1,20170402,CHN,NL,1,SLN,NL,1,3.0,4.0,53,STL10,34,8,1,0,1,3,26,8,0,0,1,0,35,11,2,0,1,4,27,5,0,0,1,0,1,1,3,1,0,1,1,0,-3,1
2,20170402,NYA,AL,1,TBA,AL,1,3.0,7.0,51,STP01,36,9,1,0,0,3,24,5,1,0,0,0,36,13,2,0,2,6,27,9,1,0,0,0,1,4,4,1,0,3,3,0,4,0
3,20170403,PHI,NL,1,CIN,NL,1,4.0,3.0,54,CIN09,35,10,4,1,2,4,27,7,0,0,3,0,32,9,1,1,1,3,27,8,1,0,2,0,0,-1,-1,-3,0,-1,0,1,1,-3
4,20170403,SDN,NL,1,LAN,NL,1,3.0,14.0,51,LOS03,33,5,1,0,1,3,24,8,0,0,0,0,36,14,4,0,4,12,27,5,1,0,0,0,1,11,9,3,0,9,3,1,-3,3
5,20170403,COL,NL,1,MIL,NL,1,7.0,5.0,54,MIL06,34,10,3,0,1,6,27,7,0,0,2,0,31,7,4,0,0,5,27,18,3,0,1,0,0,-2,-3,1,0,-1,0,3,11,-3
6,20170403,ATL,NL,1,NYN,NL,1,0.0,6.0,51,NYC20,33,7,1,1,0,0,24,5,0,1,0,0,30,7,1,0,0,6,27,11,0,0,1,0,1,6,0,0,-1,6,3,0,6,-3
7,20170403,MIA,NL,1,WAS,NL,1,2.0,4.0,51,WAS11,33,6,2,0,0,2,24,7,0,0,2,0,31,9,2,0,2,4,27,12,0,0,0,0,1,2,3,0,0,2,3,0,5,-2
8,20170403,TOR,AL,1,BAL,AL,1,2.0,3.0,65,BAL12,42,11,1,0,0,2,32,15,0,0,1,0,39,9,4,0,1,3,33,15,0,0,2,0,1,1,-2,3,0,1,1,0,0,-3
9,20170403,PIT,NL,1,BOS,AL,1,3.0,5.0,51,BOS07,34,8,2,0,0,3,24,10,1,0,1,0,33,10,0,1,1,5,27,9,1,0,0,0,1,2,2,-2,1,2,3,0,-1,-1
