ParkCode	Date	Type#	Day	VisitTeam	VisitLeague	VisitGame#	HomeTeam	HomeLeague	HomeGame#	VisitScore	HomeScore	GameLength	Winner	PARK NAME	RUNS	HR	H	2B	3B	BB
CHI11	20150405	0	Sun	SLN	NL	1	CHN	NL	1	3	0	54	SLN	"Wrigley Field(Chicago, Illinois)"	0.95	1.276	0.934	0.794	1.094	1.029
DET05	20150406	0	Mon	MIN	AL	1	DET	AL	1	0	4	51	DET	"Comerica Park(Detroit, Michigan)"	0.902	0.791	0.966	0.977	1.353	0.988
HOU03	20150406	0	Mon	CLE	AL	1	HOU	AL	1	0	2	51	HOU	"Minute Maid Park(Houston, Texas)"	0.927	1.1	0.954	0.963	1.52	0.951
KAN06	20150406	0	Mon	CHA	AL	1	KCA	AL	1	1	10	51	KCA	"Kauffman Stadium(Kansas City, Missouri)"	1.019	0.793	0.995	1.221	1.455	0.892
NYC21	20150406	0	Mon	TOR	AL	1	NYA	AL	1	6	1	54	TOR	"Yankee Stadium(New York, New York)"	1.022	1.251	0.975	0.887	0.63	1
OAK01	20150406	0	Mon	TEX	AL	1	OAK	AL	1	0	8	51	OAK	"Oakland Coliseum(Oakland, California)"	0.944	0.777	0.964	0.967	1.185	0.906
SEA03	20150406	0	Mon	ANA	AL	1	SEA	AL	1	1	4	51	SEA	"Safeco Field(Seattle, Washington)"	0.878	0.905	0.917	0.829	0.8	0.954
STP01	20150406	0	Mon	BAL	AL	1	TBA	AL	1	6	2	54	BAL	"Tropicana Field(St. Petersburg, Florida)"	0.94	0.962	0.939	0.832	0.704	0.895
PHO01	20150406	0	Mon	SFN	NL	1	ARI	NL	1	5	4	54	SFN	"Chase Field(Phoenix, Arizona)"	1.062	0.856	1.047	1.207	1.786	1.025
CIN09	20150406	0	Mon	PIT	NL	1	CIN	NL	1	2	5	51	CIN	"Great American Ball Park(Cincinnati, Ohio)"	1.115	1.137	1.075	1.043	0.444	1.101
LOS03	20150406	0	Mon	SDN	NL	1	LAN	NL	1	3	6	51	LAN	"Dodger Stadium(Los Angeles, California)"	0.918	1	0.948	1.059	0.643	0.791
MIA02	20150406	0	Mon	ATL	NL	1	MIA	NL	1	2	1	54	ATL	"Marlins Park(Miami, Florida)"	0.95	0.74	0.99	0.94	1.226	1.078
MIL06	20150406	0	Mon	COL	NL	1	MIL	NL	1	10	0	54	COL	"Miller Park(Milwaukee, Wisconsin)"	1.103	1.432	1.01	1.07	1.161	1.006
PHI13	20150406	0	Mon	BOS	AL	1	PHI	NL	1	8	0	54	BOS	"Citizens Bank Park(Philadelphia, Pennsylvania)"	1.038	1.14	0.977	0.946	0.667	1.049
WAS11	20150406	0	Mon	NYN	NL	1	WAS	NL	1	3	1	54	NYN	"Nationals Park(Washington, D.C.)"	1	1.025	0.992	1.049	0.5	1.043
OAK01	20150407	0	Tue	TEX	AL	2	OAK	AL	2	3	1	54	TEX	"Oakland Coliseum(Oakland, California)"	0.944	0.777	0.964	0.967	1.185	0.906
SEA03	20150407	0	Tue	ANA	AL	2	SEA	AL	2	2	0	54	ANA	"Safeco Field(Seattle, Washington)"	0.878	0.905	0.917	0.829	0.8	0.954
STP01	20150407	0	Tue	BAL	AL	2	TBA	AL	2	6	5	54	BAL	"Tropicana Field(St. Petersburg, Florida)"	0.94	0.962	0.939	0.832	0.704	0.895
PHO01	20150407	0	Tue	SFN	NL	2	ARI	NL	2	6	7	51	ARI	"Chase Field(Phoenix, Arizona)"	1.062	0.856	1.047	1.207	1.786	1.025
LOS03	20150407	0	Tue	SDN	NL	2	LAN	NL	2	7	3	54	SDN	"Dodger Stadium(Los Angeles, California)"	0.918	1	0.948	1.059	0.643	0.791
MIA02	20150407	0	Tue	ATL	NL	2	MIA	NL	2	12	2	54	ATL	"Marlins Park(Miami, Florida)"	0.95	0.74	0.99	0.94	1.226	1.078
MIL06	20150407	0	Tue	COL	NL	2	MIL	NL	2	5	2	54	COL	"Miller Park(Milwaukee, Wisconsin)"	1.103	1.432	1.01	1.07	1.161	1.006
DET05	20150408	0	Wed	MIN	AL	2	DET	AL	2	0	11	51	DET	"Comerica Park(Detroit, Michigan)"	0.902	0.791	0.966	0.977	1.353	0.988
HOU03	20150408	0	Wed	CLE	AL	2	HOU	AL	2	2	0	54	CLE	"Minute Maid Park(Houston, Texas)"	0.927	1.1	0.954	0.963	1.52	0.951
KAN06	20150408	0	Wed	CHA	AL	2	KCA	AL	2	5	7	51	KCA	"Kauffman Stadium(Kansas City, Missouri)"	1.019	0.793	0.995	1.221	1.455	0.892
NYC21	20150408	0	Wed	TOR	AL	2	NYA	AL	2	3	4	51	NYA	"Yankee Stadium(New York, New York)"	1.022	1.251	0.975	0.887	0.63	1
OAK01	20150408	0	Wed	TEX	AL	3	OAK	AL	3	0	10	51	OAK	"Oakland Coliseum(Oakland, California)"	0.944	0.777	0.964	0.967	1.185	0.906
SEA03	20150408	0	Wed	ANA	AL	3	SEA	AL	3	5	3	54	ANA	"Safeco Field(Seattle, Washington)"	0.878	0.905	0.917	0.829	0.8	0.954
STP01	20150408	0	Wed	BAL	AL	3	TBA	AL	3	0	2	51	TBA	"Tropicana Field(St. Petersburg, Florida)"	0.94	0.962	0.939	0.832	0.704	0.895
PHO01	20150408	0	Wed	SFN	NL	3	ARI	NL	3	5	2	54	SFN	"Chase Field(Phoenix, Arizona)"	1.062	0.856	1.047	1.207	1.786	1.025
CHI11	20150408	0	Wed	SLN	NL	2	CHN	NL	2	0	2	51	CHN	"Wrigley Field(Chicago, Illinois)"	0.95	1.276	0.934	0.794	1.094	1.029
CIN09	20150408	0	Wed	PIT	NL	2	CIN	NL	2	4	5	65	CIN	"Great American Ball Park(Cincinnati, Ohio)"	1.115	1.137	1.075	1.043	0.444	1.101
LOS03	20150408	0	Wed	SDN	NL	3	LAN	NL	3	4	7	51	LAN	"Dodger Stadium(Los Angeles, California)"	0.918	1	0.948	1.059	0.643	0.791
MIA02	20150408	0	Wed	ATL	NL	3	MIA	NL	3	2	0	54	ATL	"Marlins Park(Miami, Florida)"	0.95	0.74	0.99	0.94	1.226	1.078
MIL06	20150408	0	Wed	COL	NL	3	MIL	NL	3	5	4	60	COL	"Miller Park(Milwaukee, Wisconsin)"	1.103	1.432	1.01	1.07	1.161	1.006
PHI13	20150408	0	Wed	BOS	AL	2	PHI	NL	2	2	4	51	PHI	"Citizens Bank Park(Philadelphia, Pennsylvania)"	1.038	1.14	0.977	0.946	0.667	1.049
WAS11	20150408	0	Wed	NYN	NL	2	WAS	NL	2	1	2	51	WAS	"Nationals Park(Washington, D.C.)"	1	1.025	0.992	1.049	0.5	1.043
DET05	20150409	0	Thu	MIN	AL	3	DET	AL	3	1	7	51	DET	"Comerica Park(Detroit, Michigan)"	0.902	0.791	0.966	0.977	1.353	0.988
HOU03	20150409	0	Thu	CLE	AL	3	HOU	AL	3	5	1	54	CLE	"Minute Maid Park(Houston, Texas)"	0.927	1.1	0.954	0.963	1.52	0.951
KAN06	20150409	0	Thu	CHA	AL	3	KCA	AL	3	1	4	51	KCA	"Kauffman Stadium(Kansas City, Missouri)"	1.019	0.793	0.995	1.221	1.455	0.892
NYC21	20150409	0	Thu	TOR	AL	3	NYA	AL	3	6	3	54	TOR	"Yankee Stadium(New York, New York)"	1.022	1.251	0.975	0.887	0.63	1
OAK01	20150409	0	Thu	TEX	AL	4	OAK	AL	4	10	1	54	TEX	"Oakland Coliseum(Oakland, California)"	0.944	0.777	0.964	0.967	1.185	0.906
CIN09	20150409	0	Thu	PIT	NL	3	CIN	NL	3	2	3	52	CIN	"Great American Ball Park(Cincinnati, Ohio)"	1.115	1.137	1.075	1.043	0.444	1.101
PHI13	20150409	0	Thu	BOS	AL	3	PHI	NL	3	6	2	54	BOS	"Citizens Bank Park(Philadelphia, Pennsylvania)"	1.038	1.14	0.977	0.946	0.667	1.049
SAN02	20150409	0	Thu	SFN	NL	4	SDN	NL	4	1	0	72	SFN	"Petco Park(San Diego, California)"	0.931	1.085	0.966	0.956	0.792	0.992
WAS11	20150409	0	Thu	NYN	NL	3	WAS	NL	3	6	3	54	NYN	"Nationals Park(Washington, D.C.)"	1	1.025	0.992	1.049	0.5	1.043
ANA01	20150410	0	Fri	KCA	AL	4	ANA	AL	4	4	2	54	KCA	"Angel Stadium of Anaheim(Anaheim, California)"	0.861	0.921	0.939	0.863	0.739	1.025
