ParkCode	Date	Type#	Day	VisitTeam	VisitLeague	VisitGame#	HomeTeam	HomeLeague	HomeGame#	VisitScore	HomeScore	GameLength	Winner	PARK_NAME	RUNS	HR	H	2B	3B	BB
KAN06	20160403	0	Sun	NYN	NL	1	KCA	AL	1	3	4	51	KCA	"Kauffman Stadium(Kansas City, Missouri)"	1.171	0.783	1.092	1.256	1.571	1.039
STP01	20160403	0	Sun	TOR	AL	1	TBA	AL	1	5	3	54	TOR	"Tropicana Field(St. Petersburg, Florida)"	0.889	0.877	0.901	0.861	0.952	1.048
PIT08	20160403	0	Sun	SLN	NL	1	PIT	NL	1	1	4	51	PIT	"PNC Park(Pittsburgh, Pennsylvania)"	1.007	0.8	1.013	1.034	1.769	1.007
ANA01	20160404	0	Mon	CHN	NL	1	ANA	AL	1	9	0	54	CHN	"Angel Stadium of Anaheim(Anaheim, California)"	0.91	1.056	0.936	0.828	0.6	0.958
BAL12	20160404	0	Mon	MIN	AL	1	BAL	AL	1	2	3	53	BAL	"Oriole Park at Camden Yards(Baltimore, Maryland)"	0.953	1.009	0.967	0.834	0.846	0.975
OAK01	20160404	0	Mon	CHA	AL	1	OAK	AL	1	4	3	54	CHA	"Oakland Coliseum(Oakland, California)"	0.829	0.727	0.921	0.954	1.043	0.872
STP01	20160404	0	Mon	TOR	AL	2	TBA	AL	2	5	3	54	TOR	"Tropicana Field(St. Petersburg, Florida)"	0.889	0.877	0.901	0.861	0.952	1.048
ARL02	20160404	0	Mon	SEA	AL	1	TEX	AL	1	2	3	51	TEX	"Globe Life Park in Arlington(Arlington, Texas)"	1.156	1.049	1.1	1.052	1.813	1.029
PHO01	20160404	0	Mon	COL	NL	1	ARI	NL	1	10	5	54	COL	"Chase Field(Phoenix, Arizona)"	1.225	1.292	1.139	1.145	2.032	1.042
ATL02	20160404	0	Mon	WAS	NL	1	ATL	NL	1	4	3	60	WAS	"Turner Field(Cumberland, Georgia)"	1.059	0.77	1.009	0.9	0.936	1.135
CIN09	20160404	0	Mon	PHI	NL	1	CIN	NL	1	2	6	51	CIN	"Great American Ball Park(Cincinnati, Ohio)"	0.99	1.175	0.97	0.949	0.645	1.019
MIL06	20160404	0	Mon	SFN	NL	1	MIL	NL	1	12	3	54	SFN	"Miller Park(Milwaukee, Wisconsin)"	0.972	1.126	0.961	1	1.037	0.977
SAN02	20160404	0	Mon	LAN	NL	1	SDN	NL	1	15	0	54	LAN	"Petco Park(San Diego, California)"	1.014	0.957	1.042	1.062	0.75	0.977
ANA01	20160405	0	Tue	CHN	NL	2	ANA	AL	2	6	1	54	CHN	"Angel Stadium of Anaheim(Anaheim, California)"	0.91	1.056	0.936	0.828	0.6	0.958
CLE08	20160405	0	Tue	BOS	AL	1	CLE	AL	1	6	2	54	BOS	"Progressive Field(Cleveland, Ohio)"	1.207	1.168	1.115	1.299	0.507	1.119
KAN06	20160405	0	Tue	NYN	NL	2	KCA	AL	2	2	0	54	NYN	"Kauffman Stadium(Kansas City, Missouri)"	1.171	0.783	1.092	1.256	1.571	1.039
NYC21	20160405	0	Tue	HOU	AL	1	NYA	AL	1	5	3	54	HOU	"Yankee Stadium(New York, New York)"	1.035	1.377	0.982	0.871	0.5	1.033
OAK01	20160405	0	Tue	CHA	AL	2	OAK	AL	2	5	4	54	CHA	"Oakland Coliseum(Oakland, California)"	0.829	0.727	0.921	0.954	1.043	0.872
STP01	20160405	0	Tue	TOR	AL	3	TBA	AL	3	2	3	51	TBA	"Tropicana Field(St. Petersburg, Florida)"	0.889	0.877	0.901	0.861	0.952	1.048
ARL02	20160405	0	Tue	SEA	AL	2	TEX	AL	2	10	2	54	SEA	"Globe Life Park in Arlington(Arlington, Texas)"	1.156	1.049	1.1	1.052	1.813	1.029
PHO01	20160405	0	Tue	COL	NL	2	ARI	NL	2	6	11	51	ARI	"Chase Field(Phoenix, Arizona)"	1.225	1.292	1.139	1.145	2.032	1.042
MIA02	20160405	0	Tue	DET	AL	1	MIA	NL	1	8	7	66	DET	"Marlins Park(Miami, Florida)"	0.834	0.793	0.868	0.963	0.667	0.967
MIL06	20160405	0	Tue	SFN	NL	2	MIL	NL	2	2	1	54	SFN	"Miller Park(Milwaukee, Wisconsin)"	0.972	1.126	0.961	1	1.037	0.977
PIT08	20160405	0	Tue	SLN	NL	2	PIT	NL	2	5	6	64	PIT	"PNC Park(Pittsburgh, Pennsylvania)"	1.007	0.8	1.013	1.034	1.769	1.007
SAN02	20160405	0	Tue	LAN	NL	2	SDN	NL	2	3	0	54	LAN	"Petco Park(San Diego, California)"	1.014	0.957	1.042	1.062	0.75	0.977
BAL12	20160406	0	Wed	MIN	AL	2	BAL	AL	2	2	4	51	BAL	"Oriole Park at Camden Yards(Baltimore, Maryland)"	0.953	1.009	0.967	0.834	0.846	0.975
CLE08	20160406	0	Wed	BOS	AL	2	CLE	AL	2	6	7	51	CLE	"Progressive Field(Cleveland, Ohio)"	1.207	1.168	1.115	1.299	0.507	1.119
NYC21	20160406	0	Wed	HOU	AL	2	NYA	AL	2	6	16	51	NYA	"Yankee Stadium(New York, New York)"	1.035	1.377	0.982	0.871	0.5	1.033
OAK01	20160406	0	Wed	CHA	AL	3	OAK	AL	3	1	2	51	OAK	"Oakland Coliseum(Oakland, California)"	0.829	0.727	0.921	0.954	1.043	0.872
STP01	20160406	0	Wed	TOR	AL	4	TBA	AL	4	3	5	51	TBA	"Tropicana Field(St. Petersburg, Florida)"	0.889	0.877	0.901	0.861	0.952	1.048
ARL02	20160406	0	Wed	SEA	AL	3	TEX	AL	3	9	5	54	SEA	"Globe Life Park in Arlington(Arlington, Texas)"	1.156	1.049	1.1	1.052	1.813	1.029
PHO01	20160406	0	Wed	COL	NL	3	ARI	NL	3	4	3	54	COL	"Chase Field(Phoenix, Arizona)"	1.225	1.292	1.139	1.145	2.032	1.042
ATL02	20160406	0	Wed	WAS	NL	2	ATL	NL	2	3	1	54	WAS	"Turner Field(Cumberland, Georgia)"	1.059	0.77	1.009	0.9	0.936	1.135
CIN09	20160406	0	Wed	PHI	NL	2	CIN	NL	2	2	3	52	CIN	"Great American Ball Park(Cincinnati, Ohio)"	0.99	1.175	0.97	0.949	0.645	1.019
